,Indice,Ano,Novela,Média,Emissora,Horário,ID_novel
1347,44,1998,Estrela de  Fogo,60,RECORD ,NOVELAS NACIONAIS,estreladefogo1998
1348,45,1999,Louca  Paixão,95,RECORD ,NOVELAS NACIONAIS,loucapaixao1999
1349,46,1999,Tiro e  Queda,35,RECORD ,NOVELAS NACIONAIS,tiroequeda1999
1350,47,,,,RECORD ,NOVELAS NACIONAIS,
1352,49,2000,Marcas da  Paixão,63,RECORD ,NOVELAS NACIONAIS,marcasdapaixao2000
1353,50,2000,Vidas Cruzadas,57,RECORD ,NOVELAS NACIONAIS,vidascruzadas2000
1354,51,2001,Roda da  Vida,44,RECORD ,NOVELAS NACIONAIS,rodadavida2001
1355,52,2004,Metamorphoses,32,RECORD ,NOVELAS NACIONAIS,metamorphoses2004
1356,53,2004,A Escrava  Isaura,127,RECORD ,NOVELAS NACIONAIS,aescravaisaura2004
1357,54,2005,Essas  Mulheres,87,RECORD ,NOVELAS NACIONAIS,essasmulheres2005
1358,55,2005,Prova de  Amor,166,RECORD ,NOVELAS NACIONAIS,provadeamor2005
1359,56,2006,Cidadão  Brasileiro,105,RECORD ,NOVELAS NACIONAIS,cidadaobrasileiro2006
1360,57,2006,Bicho do  Mato,113,RECORD ,NOVELAS NACIONAIS,bichodomato2006
1361,58,2006,Alta  Estação,57,RECORD ,NOVELAS NACIONAIS,altaestacao2006
1362,59,2006,Vidas  Opostas,131,RECORD ,NOVELAS NACIONAIS,vidasopostas2006
1363,60,2007,Luz do Sol,92,RECORD ,NOVELAS NACIONAIS,luzdosol2007
1364,61,2007,Caminhos do  Coração,153,RECORD ,NOVELAS NACIONAIS,caminhosdocoracao2007
1365,62,2007,Amor e  Intrigas,118,RECORD ,NOVELAS NACIONAIS,amoreintrigas2007
1366,63,2008,Os Mutantes,136,RECORD ,NOVELAS NACIONAIS,osmutantes2008
1367,64,2008,Chamas da  Vida,139,RECORD ,NOVELAS NACIONAIS,chamasdavida2008
1368,65,2009,Promessas  de Amor,89,RECORD ,NOVELAS NACIONAIS,promessasdeamor2009
1369,66,2009,Poder  Paralelo,106,RECORD ,NOVELAS NACIONAIS,poderparalelo2009
1370,67,2009,"Bela, a  Feia",105,RECORD ,NOVELAS NACIONAIS,belaafeia2009
1371,68,,,,RECORD ,NOVELAS NACIONAIS,
1373,70,2010,Ribeirão do  Tempo,114,RECORD ,NOVELAS NACIONAIS,ribeiraodotempo2010
1374,71,2011,Rebelde,78,RECORD ,NOVELAS NACIONAIS,rebelde2011
1375,72,2011,Vidas em  Jogo,115,RECORD ,NOVELAS NACIONAIS,vidasemjogo2011
1376,73,2012,Máscaras,59,RECORD ,NOVELAS NACIONAIS,mascaras2012
1377,74,2012,Balacobaco,67,RECORD ,NOVELAS NACIONAIS,balacobaco2012
1378,75,2013,Dona Xepa,70,RECORD ,NOVELAS NACIONAIS,donaxepa2013
1379,76,2013,Pecado  Mortal,56,RECORD ,NOVELAS NACIONAIS,pecadomortal2013
1380,77,2014,Vitória,59,RECORD ,NOVELAS NACIONAIS,vitoria2014
1381,78,2015,Os Dez  Mandamentos,163,RECORD ,NOVELAS NACIONAIS,osdezmandamentos2015
1382,79,2016,Os Dez  Mandamentos: T2,156,RECORD ,NOVELAS NACIONAIS,osdezmandamentost22016
1383,80,2016,Escrava Mãe,108,RECORD ,NOVELAS NACIONAIS,escravamae2016
1384,81,2016,A Terra  Prometida,145,RECORD ,NOVELAS NACIONAIS,aterraprometida2016
1385,82,2017,O Rico e  Lázaro,101,RECORD ,NOVELAS NACIONAIS,oricoelazaro2017
1386,83,2017,Belaventura,58,RECORD ,NOVELAS NACIONAIS,belaventura2017
1387,84,2017,Apocalipse,80,RECORD ,NOVELAS NACIONAIS,apocalipse2017
1388,85,2018,Jesus,99,RECORD ,NOVELAS NACIONAIS,jesus2018
1389,86,2019,Jezabel,74,RECORD ,NOVELAS NACIONAIS,jezabel2019
1390,87,2019,Topíssima,80,RECORD ,NOVELAS NACIONAIS,topissima2019
1391,88,2019,Amor Sem  Igual,85,RECORD ,NOVELAS NACIONAIS,amorsemigual2019
1392,89,,,,RECORD ,NOVELAS NACIONAIS,
1394,91,2021,Gênesis,125,RECORD ,NOVELAS NACIONAIS,genesis2021
1395,92,2022,Reis,-,RECORD ,NOVELAS NACIONAIS,reis2022
1397,1,1999,Estrela de  Fogo,26,RECORD ,REPRISES,estreladefogo1999
1398,2,,,,RECORD ,REPRISES,
1400,4,2002,Louca  Paixão,20,RECORD ,REPRISES,loucapaixao2002
1401,5,2004,Marcas  da Paixão,20,RECORD ,REPRISES,marcasdapaixao2004
1402,6,2005,A  Escrava Isaura,70,RECORD ,REPRISES,aescravaisaura2005
1403,7,2006,Louca  Paixão,30,RECORD ,REPRISES,loucapaixao2006
1404,8,2007,A  Escrava Isaura,50,RECORD ,REPRISES,aescravaisaura2007
1405,9,2007,Essas  Mulheres,28,RECORD ,REPRISES,essasmulheres2007
1406,10,2008,Prova de  Amor,49,RECORD ,REPRISES,provadeamor2008
1407,11,2009,Bicho do  Mato,38,RECORD ,REPRISES,bichodomato2009
1408,12,,,,RECORD ,REPRISES,
1410,14,2010,Os Mutantes,62,RECORD ,REPRISES,osmutantes2010
1411,15,2012,Vidas  Opostas,57,RECORD ,REPRISES,vidasopostas2012
1412,16,2015,Prova de  Amor,65,RECORD ,REPRISES,provadeamor2015
1413,17,2015,Dona Xepa,34,RECORD ,REPRISES,donaxepa2015
1414,18,2015,Chamas da  Vida,48,RECORD ,REPRISES,chamasdavida2015
1415,19,2016,Amor e  Intrigas,69,RECORD ,REPRISES,amoreintrigas2016
1416,20,2016,Vidas em  Jogo,55,RECORD ,REPRISES,vidasemjogo2016
1417,21,2017,A Escrava  Isaura,104,RECORD ,REPRISES,aescravaisaura2017
1418,22,2017,Ribeirão do  Tempo,62,RECORD ,REPRISES,ribeiraodotempo2017
1419,23,2017,Os Dez  Mandamentos,82,RECORD ,REPRISES,osdezmandamentos2017
1420,24,2017,Bicho do  Mato,55,RECORD ,REPRISES,bichodomato2017
1421,25,2018,Luz do Sol,62,RECORD ,REPRISES,luzdosol2018
1422,26,2018,A Terra  Prometida,100,RECORD ,REPRISES,aterraprometida2018
1423,27,2018,Essas  Mulheres,55,RECORD ,REPRISES,essasmulheres2018
1424,28,2018,"Bela, a  Feia",74,RECORD ,REPRISES,belaafeia2018
1425,29,2019,Caminhos do  Coração,53,RECORD ,REPRISES,caminhosdocoracao2019
1426,30,2019,O Rico e  Lázaro,65,RECORD ,REPRISES,oricoelazaro2019
1427,31,2019,A Escrava  Isaura,71,RECORD ,REPRISES,aescravaisaura2019
1428,32,,,,RECORD ,REPRISES,
1430,34,2020,Jesus,64,RECORD ,REPRISES,jesus2020
1431,35,2020,Apocalipse,60,RECORD ,REPRISES,apocalipse2020
1432,36,2020,Os Mutantes,46,RECORD ,REPRISES,osmutantes2020
1433,37,2020,Escrava Mãe,53,RECORD ,REPRISES,escravamae2020
1434,38,2021,Topíssima,75,RECORD ,REPRISES,topissima2021
1435,39,2021,Belaventura,45,RECORD ,REPRISES,belaventura2021
1436,40,2021,Prova de  Amor,60,RECORD ,REPRISES,provadeamor2021
1437,41,2021,A Bíblia,90,RECORD ,REPRISES,abiblia2021
1438,42,2022,Chamas da  Vida,42,RECORD ,REPRISES,chamasdavida2022
1439,43,2022,Jesus,65,RECORD ,REPRISES,jesus2022
1440,44,2022,Amor sem  Igual,43,RECORD ,REPRISES,amorsemigual2022
1441,45,2022,Os Dez  Mandamentos,-,RECORD ,REPRISES,osdezmandamentos2022
1442,46,2022,Jesus,-,RECORD ,REPRISES,jesus2022
1443,47,2023,Vidas em  Jogo,-,RECORD ,REPRISES,vidasemjogo2023
1444,0,FAIXA  I,FAIXA  I,,RECORD ,REPRISES POR FAIXAS,faixaiFAIXA  I
1445,1,,,,RECORD ,REPRISES POR FAIXAS,
1447,3,2015,Prova de  Amor,65,RECORD ,REPRISES POR FAIXAS,provadeamor2015
1448,4,2016,Amor e  Intrigas,69,RECORD ,REPRISES POR FAIXAS,amoreintrigas2016
1449,5,2017,Ribeirão do  Tempo,62,RECORD ,REPRISES POR FAIXAS,ribeiraodotempo2017
1450,6,2018,Luz do Sol,62,RECORD ,REPRISES POR FAIXAS,luzdosol2018
1451,7,2018,"Bela, a  Feia",74,RECORD ,REPRISES POR FAIXAS,belaafeia2018
1452,8,2019,A Escrava  Isaura,71,RECORD ,REPRISES POR FAIXAS,aescravaisaura2019
1453,9,2020,Escrava Mãe,53,RECORD ,REPRISES POR FAIXAS,escravamae2020
1454,10,2021,Belaventura,45,RECORD ,REPRISES POR FAIXAS,belaventura2021
1455,11,2021,Prova de  Amor,60,RECORD ,REPRISES POR FAIXAS,provadeamor2021
1456,12,2022,Chamas da  Vida,42,RECORD ,REPRISES POR FAIXAS,chamasdavida2022
1457,13,2022,Os Dez  Mandamentos,-,RECORD ,REPRISES POR FAIXAS,osdezmandamentos2022
1458,14,,,,RECORD ,REPRISES POR FAIXAS,
1459,15,,,,RECORD ,REPRISES POR FAIXAS,
1460,16,FAIXA  II,FAIXA  II,,RECORD ,REPRISES POR FAIXAS,faixaiiFAIXA  II
1461,17,,,,RECORD ,REPRISES POR FAIXAS,
1463,19,2015,Dona Xepa,34,RECORD ,REPRISES POR FAIXAS,donaxepa2015
1464,20,2015,Chamas da  Vida,48,RECORD ,REPRISES POR FAIXAS,chamasdavida2015
1465,21,2016,Vidas em  Jogo,55,RECORD ,REPRISES POR FAIXAS,vidasemjogo2016
1466,22,2017,Bicho do  Mato,55,RECORD ,REPRISES POR FAIXAS,bichodomato2017
1467,23,2018,Essas  Mulheres,55,RECORD ,REPRISES POR FAIXAS,essasmulheres2018
1468,24,2019,Caminhos do  Coração,53,RECORD ,REPRISES POR FAIXAS,caminhosdocoracao2019
1469,25,2020,Os Mutantes,46,RECORD ,REPRISES POR FAIXAS,osmutantes2020
1470,26,,,,RECORD ,REPRISES POR FAIXAS,
1471,27,,,,RECORD ,REPRISES POR FAIXAS,
1472,28,FAIXA  III,FAIXA  III,,RECORD ,REPRISES POR FAIXAS,faixaiiiFAIXA  III
1473,29,,,,RECORD ,REPRISES POR FAIXAS,
1475,31,2017,A Escrava  Isaura,104,RECORD ,REPRISES POR FAIXAS,aescravaisaura2017
1476,32,2017,Os Dez  Mandamentos,82,RECORD ,REPRISES POR FAIXAS,osdezmandamentos2017
1477,33,2018,A Terra  Prometida,100,RECORD ,REPRISES POR FAIXAS,aterraprometida2018
1478,34,2020,Apocalipse,60,RECORD ,REPRISES POR FAIXAS,apocalipse2020
1479,35,2021,A Bíblia,90,RECORD ,REPRISES POR FAIXAS,abiblia2021
1480,36,2022,Jesus,-,RECORD ,REPRISES POR FAIXAS,jesus2022
1481,37,,,,RECORD ,REPRISES POR FAIXAS,
1482,38,,,,RECORD ,REPRISES POR FAIXAS,
1483,39,FAIXA  IV,FAIXA  IV,,RECORD ,REPRISES POR FAIXAS,faixaivFAIXA  IV
1484,40,,,,RECORD ,REPRISES POR FAIXAS,
1486,42,2019,O Rico e  Lázaro,65,RECORD ,REPRISES POR FAIXAS,oricoelazaro2019
1487,43,2020,Jesus,64,RECORD ,REPRISES POR FAIXAS,jesus2020
1488,44,2021,Topíssima,75,RECORD ,REPRISES POR FAIXAS,topissima2021
1489,45,2022,Jesus,65,RECORD ,REPRISES POR FAIXAS,jesus2022
1490,46,2022,Amor sem  Igual,43,RECORD ,REPRISES POR FAIXAS,amorsemigual2022
1491,47,2023,Vidas em  Jogo,-,RECORD ,REPRISES POR FAIXAS,vidasemjogo2023
1493,1,1994,A Revanche,16,RECORD ,NOVELAS ESTRANGEIRAS,arevanche1994
1494,2,2000,Olhar de  Mulher,33,RECORD ,NOVELAS ESTRANGEIRAS,olhardemulher2000
1495,3,2001,Samantha,32,RECORD ,NOVELAS ESTRANGEIRAS,samantha2001
1496,4,2002,"Joana, a  Virgem",37,RECORD ,NOVELAS ESTRANGEIRAS,joanaavirgem2002
1497,5,2003,Um Amor de  Babá,23,RECORD ,NOVELAS ESTRANGEIRAS,umamordebaba2003
1498,6,2007,"Zorro,  a Espada e a Rosa",60,RECORD ,NOVELAS ESTRANGEIRAS,zorroaespadaearosa2007
1500,1,2001,Acampamento  Legal,16,RECORD ,REAPRESENTAÇÕES,acampamentolegal2001
1501,0,NACIONAIS,NACIONAIS,,RECORD ,SÉRIES,nacionaisNACIONAIS
1502,1,,,,RECORD ,SÉRIES,
1503,2,Ano,Série,Média,RECORD ,SÉRIES,serieAno
1504,3,2009,A Lei e o  Crime,138,RECORD ,SÉRIES,aleieocrime2009
1505,4,2012,Fora de  Controle,55,RECORD ,SÉRIES,foradecontrole2012
1506,5,2014,Conselho  Tutelar: 1ª Temporada,75,RECORD ,SÉRIES,conselhotutelar1atemporada2014
1507,6,2016,Conselho  Tutelar: 2ª Temporada,73,RECORD ,SÉRIES,conselhotutelar2atemporada2016
1508,7,2017,Sem Volta,62,RECORD ,SÉRIES,semvolta2017
1509,8,2018,Conselho  Tutelar: 3ª Temporada,41,RECORD ,SÉRIES,conselhotutelar3atemporada2018
1510,9,2022,Aeroporto:  3ª Temporada,60,RECORD ,SÉRIES,aeroporto3atemporada2022
1511,10,2022,Todas as  Garotas em Mim: 1ª Temporada,45,RECORD ,SÉRIES,todasasgarotasemmim1atemporada2022
1512,11,2022,Todas as Garotas  em Mim: 2ª Temporada,43,RECORD ,SÉRIES,todasasgarotasemmim2atemporada2022
1513,12,2023,Aeroporto:  4ª Temporada,-,RECORD ,SÉRIES,aeroporto4atemporada2023
1514,13,,,,RECORD ,SÉRIES,
1515,14,,,,RECORD ,SÉRIES,
1516,15,ESTRANGEIRAS,ESTRANGEIRAS,,RECORD ,SÉRIES,estrangeirasESTRANGEIRAS
1517,16,,,,RECORD ,SÉRIES,
1518,17,Ano,Série,Média,RECORD ,SÉRIES,serieAno
1519,18,2014,Breaking  Bad,36,RECORD ,SÉRIES,breakingbad2014
1520,19,2014,Spartacus:  1ª Temporada,44,RECORD ,SÉRIES,spartacus1atemporada2014
1521,20,2014,Era Uma Vez,47,RECORD ,SÉRIES,eraumavez2014
1522,21,2014,Bates  Motel: 1ª Temporada,34,RECORD ,SÉRIES,batesmotel1atemporada2014
1523,22,2014,Chicago  Fire: 1ª Temporada,23,RECORD ,SÉRIES,chicagofire1atemporada2014
1524,23,2014,Grimm: 1ª  Temporada,32,RECORD ,SÉRIES,grimm1atemporada2014
1525,24,2014,Spartacus:  2ª Temporada,43,RECORD ,SÉRIES,spartacus2atemporada2014
1526,25,2021,Quando  Chama o Coração,81,RECORD ,SÉRIES,quandochamaocoracao2021
1527,26,2022,Quilos  Mortais: 1ª Temporada,64,RECORD ,SÉRIES,quilosmortais1atemporada2022
1528,27,2023,Quilos  Mortais: 2ª Temporada,-,RECORD ,SÉRIES,quilosmortais2atemporada2023
1529,28,,,,RECORD ,SÉRIES,
1530,29,,,,RECORD ,SÉRIES,
1531,30,REPRISES,REPRISES,,RECORD ,SÉRIES,reprisesREPRISES
1532,31,,,,RECORD ,SÉRIES,
1533,32,Ano,Série,Média,RECORD ,SÉRIES,serieAno
1534,33,2013,A Lei e o  Crime,40,RECORD ,SÉRIES,aleieocrime2013
1535,34,2018,A Lei e o  Crime,51,RECORD ,SÉRIES,aleieocrime2018
1536,35,2023,A Lei e o  Crime,40,RECORD ,SÉRIES,aleieocrime2023
1537,0,Ano,Minissérie,Média,RECORD ,MINISSÉRIES,minisserieAno
1538,1,1997,A Filha do  Demônio,40,RECORD ,MINISSÉRIES,afilhadodemonio1997
1539,2,1997,Olho da  Terra,24,RECORD ,MINISSÉRIES,olhodaterra1997
1540,3,1997,Direito de  Vencer,21,RECORD ,MINISSÉRIES,direitodevencer1997
1541,4,1997,Por Amor e  Ódio,24,RECORD ,MINISSÉRIES,poramoreodio1997
1542,5,1997,Uma Janela  para o Céu,14,RECORD ,MINISSÉRIES,umajanelaparaoceu1997
1543,6,1997,Velas de  Sangue,15,RECORD ,MINISSÉRIES,velasdesangue1997
1544,7,1997,A Sétima  Bala,13,RECORD ,MINISSÉRIES,asetimabala1997
1545,8,1997,O Desafio  de Elias,36,RECORD ,MINISSÉRIES,odesafiodeelias1997
1546,9,1998,Do Fundo do  Coração,28,RECORD ,MINISSÉRIES,dofundodocoracao1998
1547,10,1998,Alma  de Pedra,-,RECORD ,MINISSÉRIES,almadepedra1998
1548,11,1998,A História  de Ester,38,RECORD ,MINISSÉRIES,ahistoriadeester1998
1549,12,,,,RECORD ,MINISSÉRIES,
1550,13,Ano,Minissérie,Média,RECORD ,MINISSÉRIES,minisserieAno
1551,14,2010,A História  de Ester,109,RECORD ,MINISSÉRIES,ahistoriadeester2010
1552,15,2011,Sansão e  Dalila,123,RECORD ,MINISSÉRIES,sansaoedalila2011
1553,16,2012,Rei Davi,124,RECORD ,MINISSÉRIES,reidavi2012
1554,17,2013,José do  Egito,107,RECORD ,MINISSÉRIES,josedoegito2013
1555,18,2014,Milagres de  Jesus: 1ª Temporada,88,RECORD ,MINISSÉRIES,milagresdejesus1atemporada2014
1556,19,2014,Plano Alto,38,RECORD ,MINISSÉRIES,planoalto2014
1557,20,2015,Milagres de  Jesus: 2ª Temporada,80,RECORD ,MINISSÉRIES,milagresdejesus2atemporada2015
1558,21,2018,Lia,93,RECORD ,MINISSÉRIES,lia2018
1559,22,,,,RECORD ,MINISSÉRIES,
1560,23,,,,RECORD ,MINISSÉRIES,
1561,24,ESTRANGEIRAS,ESTRANGEIRAS,,RECORD ,MINISSÉRIES,estrangeirasESTRANGEIRAS
1562,25,,,,RECORD ,MINISSÉRIES,
1563,26,Ano,Minissérie,Média,RECORD ,MINISSÉRIES,minisserieAno
1564,27,2013,A Bíblia:  1ª Temporada,107,RECORD ,MINISSÉRIES,abiblia1atemporada2013
1565,28,2016,A Bíblia:  2ª Temporada,59,RECORD ,MINISSÉRIES,abiblia2atemporada2016
1566,29,,,,RECORD ,MINISSÉRIES,
1567,30,,,,RECORD ,MINISSÉRIES,
1568,31,REPRISES,REPRISES,,RECORD ,MINISSÉRIES,reprisesREPRISES
1569,32,,,,RECORD ,MINISSÉRIES,
1570,33,Ano,Minissérie,Média,RECORD ,MINISSÉRIES,minisserieAno
1571,34,2010,A História  de Ester,49,RECORD ,MINISSÉRIES,ahistoriadeester2010
1572,35,2011,A História  de Ester,27,RECORD ,MINISSÉRIES,ahistoriadeester2011
1573,36,2012,Rei Davi,63,RECORD ,MINISSÉRIES,reidavi2012
1574,37,2012,A História  de Ester,52,RECORD ,MINISSÉRIES,ahistoriadeester2012
1575,38,2013,Sansão e  Dalila,48,RECORD ,MINISSÉRIES,sansaoedalila2013
1576,39,2014,José do  Egito,76,RECORD ,MINISSÉRIES,josedoegito2014
1577,40,2015,Milagres de  Jesus: 1ª Temporada,64,RECORD ,MINISSÉRIES,milagresdejesus1atemporada2015
1578,41,2015,Rei Davi,127,RECORD ,MINISSÉRIES,reidavi2015
1579,42,2016,José do  Egito,125,RECORD ,MINISSÉRIES,josedoegito2016
1580,43,2016,Sansão e  Dalila,106,RECORD ,MINISSÉRIES,sansaoedalila2016
1581,44,2018,José do  Egito,77,RECORD ,MINISSÉRIES,josedoegito2018
1582,45,2018,Rei Davi,80,RECORD ,MINISSÉRIES,reidavi2018
1583,0,Ano,Reality,Média,RECORD ,REALITY SHOW,realityAno
1584,1,2009,A Fazenda 1,143,RECORD ,REALITY SHOW,afazenda12009
1585,2,2009,A Fazenda 2,93,RECORD ,REALITY SHOW,afazenda22009
1586,3,,,,RECORD ,REALITY SHOW,
1587,4,Ano,Reality,Média,RECORD ,REALITY SHOW,realityAno
1588,5,2010,A Fazenda 3,143,RECORD ,REALITY SHOW,afazenda32010
1589,6,2011,A Fazenda 4,114,RECORD ,REALITY SHOW,afazenda42011
1590,7,2012,A Fazenda 5,107,RECORD ,REALITY SHOW,afazenda52012
1591,8,2012,Fazenda de  Verão: 1ª Temporada,67,RECORD ,REALITY SHOW,fazendadeverao1atemporada2012
1592,9,2013,A Fazenda 6,89,RECORD ,REALITY SHOW,afazenda62013
1593,10,2014,A Fazenda 7,88,RECORD ,REALITY SHOW,afazenda72014
1594,11,2015,A Fazenda 8,94,RECORD ,REALITY SHOW,afazenda82015
1595,12,2015,Batalha dos  Confeiteiros,115,RECORD ,REALITY SHOW,batalhadosconfeiteiros2015
1596,13,2016,Power  Couple: 1ª Temporada,95,RECORD ,REALITY SHOW,powercouple1atemporada2016
1597,14,2016,Batalha dos  Cozinheiros,62,RECORD ,REALITY SHOW,batalhadoscozinheiros2016
1598,15,2017,Dancing  Brasil: 1ª Temporada,59,RECORD ,REALITY SHOW,dancingbrasil1atemporada2017
1599,16,2017,Power  Couple: 2ª Temporada,74,RECORD ,REALITY SHOW,powercouple2atemporada2017
1600,17,2017,A Casa: 1ª  Temporada,59,RECORD ,REALITY SHOW,acasa1atemporada2017
1601,18,2017,Dancing  Brasil: 2ª Temporada,58,RECORD ,REALITY SHOW,dancingbrasil2atemporada2017
1602,19,2017,A Fazenda 9,86,RECORD ,REALITY SHOW,afazenda92017
1603,20,2018,Dancing  Brasil: 3ª Temporada,63,RECORD ,REALITY SHOW,dancingbrasil3atemporada2018
1604,21,2018,Batalha dos  Confeiteiros: 2ª Temporada,71,RECORD ,REALITY SHOW,batalhadosconfeiteiros2atemporada2018
1605,22,2018,Power Couple:  3ª Temporada,79,RECORD ,REALITY SHOW,powercouple3atemporada2018
1606,23,2018,Canta  Comigo: 1ª Temporada,75,RECORD ,REALITY SHOW,cantacomigo1atemporada2018
1607,24,2018,A Fazenda  10,98,RECORD ,REALITY SHOW,afazenda102018
1608,25,2018,Dancing  Brasil: 4ª Temporada,60,RECORD ,REALITY SHOW,dancingbrasil4atemporada2018
1609,26,2019,The Four  Brasil: 1ª Temporada,67,RECORD ,REALITY SHOW,thefourbrasil1atemporada2019
1610,27,2019,Troca de  Esposas: 1ª Temporada,81,RECORD ,REALITY SHOW,trocadeesposas1atemporada2019
1611,28,2019,Top Chef  Brasil: 1ª Temporada,57,RECORD ,REALITY SHOW,topchefbrasil1atemporada2019
1612,29,2019,Power  Couple: 4ª Temporada,71,RECORD ,REALITY SHOW,powercouple4atemporada2019
1613,30,2019,Dancing  Brasil: 5ª Temporada,53,RECORD ,REALITY SHOW,dancingbrasil5atemporada2019
1614,31,2019,Duelo dos  Confeiteiros: Buddy vs Duff,40,RECORD ,REALITY SHOW,duelodosconfeiteirosbuddyvsduff2019
1615,32,2019,A Fazenda  11,82,RECORD ,REALITY SHOW,afazenda112019
1616,33,2019,Canta  Comigo: 2ª Temporada,62,RECORD ,REALITY SHOW,cantacomigo2atemporada2019
1617,34,,,,RECORD ,REALITY SHOW,
1618,35,Ano,Reality,Média,RECORD ,REALITY SHOW,realityAno
1619,36,2020,Troca de  Esposas: 2ª Temporada,62,RECORD ,REALITY SHOW,trocadeesposas2atemporada2020
1620,37,2020,The Four  Brasil: 2ª Temporada,42,RECORD ,REALITY SHOW,thefourbrasil2atemporada2020
1621,38,2020,Top Chef  Brasil: 2ª Temporada,55,RECORD ,REALITY SHOW,topchefbrasil2atemporada2020
1622,39,2020,A Fazenda  12,130,RECORD ,REALITY SHOW,afazenda122020
1623,40,2020,Game dos  Clones: 1ª Temporada,77,RECORD ,REALITY SHOW,gamedosclones1atemporada2020
1624,41,2021,Canta Comigo:  3ª Temporada,75,RECORD ,REALITY SHOW,cantacomigo3atemporada2021
1625,42,2021,Power  Couple: 5ª Temporada,64,RECORD ,REALITY SHOW,powercouple5atemporada2021
1626,43,2021,Ilha  Record: 1ª Temporada,70,RECORD ,REALITY SHOW,ilharecord1atemporada2021
1627,44,2021,A Fazenda  13,92,RECORD ,REALITY SHOW,afazenda132021
1628,45,2021,Top Chef  Brasil: 3ª Temporada,45,RECORD ,REALITY SHOW,topchefbrasil3atemporada2021
1629,46,2021,Canta  Comigo Teen: 2ª Temporada,82,RECORD ,REALITY SHOW,cantacomigoteen2atemporada2021
1630,47,2022,Canta  Comigo: 4ª Temporada,70,RECORD ,REALITY SHOW,cantacomigo4atemporada2022
1631,48,2022,Power  Couple: 6ª Temporada,48,RECORD ,REALITY SHOW,powercouple6atemporada2022
1632,49,2022,Canta  Comigo Teen: 3ª Temporada,74,RECORD ,REALITY SHOW,cantacomigoteen3atemporada2022
1633,50,2022,Ilha  Record: 2ª Temporada,34,RECORD ,REALITY SHOW,ilharecord2atemporada2022
1634,51,2022,A Fazenda  14,73,RECORD ,REALITY SHOW,afazenda142022
1635,0,Ano,Programa,Média,RECORD ,PROGRAMAS,programaAno
1636,1,2021,A Noite é  Nossa,45,RECORD ,PROGRAMAS,anoiteenossa2021
1638,1,1982,Destino,116,SBT ,NOVELAS NACIONAIS,destino1982
1639,2,1982,A Força do  Amor,164,SBT ,NOVELAS NACIONAIS,aforcadoamor1982
1640,3,1982,A Leoa,158,SBT ,NOVELAS NACIONAIS,aleoa1982
1641,4,1982,Conflito,135,SBT ,NOVELAS NACIONAIS,conflito1982
1642,5,1983,Sombras do  Passado,124,SBT ,NOVELAS NACIONAIS,sombrasdopassado1983
1643,6,1983,Acorrentada,161,SBT ,NOVELAS NACIONAIS,acorrentada1983
1644,7,1983,A Ponte do  Amor,111,SBT ,NOVELAS NACIONAIS,apontedoamor1983
1645,8,1983,A Justiça  de Deus,143,SBT ,NOVELAS NACIONAIS,ajusticadedeus1983
1646,9,1983,Pecado de  Amor,99,SBT ,NOVELAS NACIONAIS,pecadodeamor1983
1647,10,1983,Razão de Viver,96,SBT ,NOVELAS NACIONAIS,razaodeviver1983
1648,11,1983,O Anjo  Maldito,109,SBT ,NOVELAS NACIONAIS,oanjomaldito1983
1649,12,1983,Vida  Roubada,88,SBT ,NOVELAS NACIONAIS,vidaroubada1983
1650,13,1984,"Meus  Filhos, Minha Vida",126,SBT ,NOVELAS NACIONAIS,meusfilhosminhavida1984
1651,14,1984,Jerônimo,66,SBT ,NOVELAS NACIONAIS,jeronimo1984
1652,15,1985,Jogo do  Amor,83,SBT ,NOVELAS NACIONAIS,jogodoamor1985
1653,16,1985,Uma  Esperança no Ar,47,SBT ,NOVELAS NACIONAIS,umaesperancanoar1985
1654,17,1989,Cortina de  Vidro,54,SBT ,NOVELAS NACIONAIS,cortinadevidro1989
1655,18,,,,SBT ,NOVELAS NACIONAIS,
1657,20,1990,Brasileiras  e Brasileiros,51,SBT ,NOVELAS NACIONAIS,brasileirasebrasileiros1990
1658,21,1994,Éramos Seis,147,SBT ,NOVELAS NACIONAIS,eramosseis1994
1659,22,1994,As Pupilas  do Senhor Reitor,108,SBT ,NOVELAS NACIONAIS,aspupilasdosenhorreitor1994
1660,23,1995,Sangue do  meu Sangue,78,SBT ,NOVELAS NACIONAIS,sanguedomeusangue1995
1661,24,1996,Colégio  Brasil,73,SBT ,NOVELAS NACIONAIS,colegiobrasil1996
1662,25,1996,"Antônio  Alves, Taxista",84,SBT ,NOVELAS NACIONAIS,antonioalvestaxista1996
1663,26,1996,Razão de  Viver,74,SBT ,NOVELAS NACIONAIS,razaodeviver1996
1664,27,1996,Dona Anja,67,SBT ,NOVELAS NACIONAIS,donaanja1996
1665,28,1997,Os Ossos do  Barão,58,SBT ,NOVELAS NACIONAIS,osossosdobarao1997
1666,29,1997,Chiquititas:  1ª Temporada,137,SBT ,NOVELAS NACIONAIS,chiquititas1atemporada1997
1667,30,1998,Fascinação,91,SBT ,NOVELAS NACIONAIS,fascinacao1998
1668,31,1998,Chiquititas:  2ª Temporada,142,SBT ,NOVELAS NACIONAIS,chiquititas2atemporada1998
1669,32,1998,Pérola  Negra,138,SBT ,NOVELAS NACIONAIS,perolanegra1998
