,Indice,Ano,Novela,Média,Emissora,Horário,ID_novel
96,93,2018,Belíssima,137,GLOBO ,VALE A PENA VER DE NOVO,belissima2018
97,94,2019,Cordel  Encantado,160,GLOBO ,VALE A PENA VER DE NOVO,cordelencantado2019
98,95,2019,Por Amor,178,GLOBO ,VALE A PENA VER DE NOVO,poramor2019
99,96,2019,Avenida  Brasil,188,GLOBO ,VALE A PENA VER DE NOVO,avenidabrasil2019
100,97,,,,GLOBO ,VALE A PENA VER DE NOVO,
102,99,2020,Eta Mundo  Bom!,217,GLOBO ,VALE A PENA VER DE NOVO,etamundobom2020
103,100,2020,Laços de  Família,188,GLOBO ,VALE A PENA VER DE NOVO,lacosdefamilia2020
104,101,2021,Ti Ti Ti,146,GLOBO ,VALE A PENA VER DE NOVO,tititi2021
105,102,2021,O Clone,154,GLOBO ,VALE A PENA VER DE NOVO,oclone2021
106,103,2022,A Favorita,157,GLOBO ,VALE A PENA VER DE NOVO,afavorita2022
107,104,2022,O Rei do  Gado,-,GLOBO ,VALE A PENA VER DE NOVO,oreidogado2022
109,1,1971,Meu  Pedacinho de Chão,254,GLOBO ,NOVELAS DAS 18H,meupedacinhodechao1971
110,2,1972,Bicho do  Mato,306,GLOBO ,NOVELAS DAS 18H,bichodomato1972
111,3,1972,A Patota,271,GLOBO ,NOVELAS DAS 18H,apatota1972
112,4,1975,Helena,398,GLOBO ,NOVELAS DAS 18H,helena1975
113,5,1975,O Noviço,357,GLOBO ,NOVELAS DAS 18H,onovico1975
114,6,1975,Senhora,361,GLOBO ,NOVELAS DAS 18H,senhora1975
115,7,1975,A Moreninha,358,GLOBO ,NOVELAS DAS 18H,amoreninha1975
116,8,1976,Vejo a Lua  no Céu,390,GLOBO ,NOVELAS DAS 18H,vejoaluanoceu1976
117,9,1976,O Feijão e  o Sonho,435,GLOBO ,NOVELAS DAS 18H,ofeijaoeosonho1976
118,10,1976,Escrava  Isaura,469,GLOBO ,NOVELAS DAS 18H,escravaisaura1976
119,11,1977,À Sombra  dos Laranjais,386,GLOBO ,NOVELAS DAS 18H,asombradoslaranjais1977
120,12,1977,Dona Xepa,466,GLOBO ,NOVELAS DAS 18H,donaxepa1977
121,13,1977,Sinhazinha  Flô,385,GLOBO ,NOVELAS DAS 18H,sinhazinhaflo1977
122,14,1978,"Maria,  Maria",410,GLOBO ,NOVELAS DAS 18H,mariamaria1978
123,15,1978,Gina,414,GLOBO ,NOVELAS DAS 18H,gina1978
124,16,1978,A Sucessora,387,GLOBO ,NOVELAS DAS 18H,asucessora1978
125,17,1979,Memórias de  Amor,361,GLOBO ,NOVELAS DAS 18H,memoriasdeamor1979
126,18,1979,Cabocla,416,GLOBO ,NOVELAS DAS 18H,cabocla1979
127,19,,,,GLOBO ,NOVELAS DAS 18H,
129,21,1980,Olhai os Lírios do Campo,360,GLOBO ,NOVELAS DAS 18H,olhaiosliriosdocampo1980
130,22,1980,Marina,350,GLOBO ,NOVELAS DAS 18H,marina1980
131,23,1980,As Três  Marias,277,GLOBO ,NOVELAS DAS 18H,astresmarias1980
132,24,1981,Ciranda de  Pedra,336,GLOBO ,NOVELAS DAS 18H,cirandadepedra1981
133,25,1981,Terras do  Sem-Fim,221,GLOBO ,NOVELAS DAS 18H,terrasdosemfim1981
134,26,1982,O Homem  Proibido,332,GLOBO ,NOVELAS DAS 18H,ohomemproibido1982
135,27,1982,Paraíso,375,GLOBO ,NOVELAS DAS 18H,paraiso1982
136,28,1983,"Pão Pão,  Beijo Beijo",409,GLOBO ,NOVELAS DAS 18H,paopaobeijobeijo1983
137,29,1983,Voltei pra  Você,359,GLOBO ,NOVELAS DAS 18H,volteipravoce1983
138,30,1984,Amor com  Amor se Paga,400,GLOBO ,NOVELAS DAS 18H,amorcomamorsepaga1984
139,31,1984,Livre para  Voar,388,GLOBO ,NOVELAS DAS 18H,livreparavoar1984
140,32,1985,A Gata  Comeu,487,GLOBO ,NOVELAS DAS 18H,agatacomeu1985
141,33,1985,De Quina  pra Lua,312,GLOBO ,NOVELAS DAS 18H,dequinapralua1985
142,34,1986,Sinhá Moça,431,GLOBO ,NOVELAS DAS 18H,sinhamoca1986
143,35,1987,Direito de  Amar,389,GLOBO ,NOVELAS DAS 18H,direitodeamar1987
