,0,1,2,Emissora,Horario
7,1975,A Moreninha,358,GLOBO ,NOVELAS DAS 18H
8,1976,Vejo a Lua  no Céu,390,GLOBO ,NOVELAS DAS 18H
9,1976,O Feijão e  o Sonho,435,GLOBO ,NOVELAS DAS 18H
10,1976,Escrava  Isaura,469,GLOBO ,NOVELAS DAS 18H
11,1977,À Sombra  dos Laranjais,386,GLOBO ,NOVELAS DAS 18H
12,1977,Dona Xepa,466,GLOBO ,NOVELAS DAS 18H
13,1977,Sinhazinha  Flô,385,GLOBO ,NOVELAS DAS 18H
14,1978,"Maria,  Maria",410,GLOBO ,NOVELAS DAS 18H
15,1978,Gina,414,GLOBO ,NOVELAS DAS 18H
16,1978,A Sucessora,387,GLOBO ,NOVELAS DAS 18H
17,1979,Memórias de  Amor,361,GLOBO ,NOVELAS DAS 18H
18,1979,Cabocla,416,GLOBO ,NOVELAS DAS 18H
19,,,,GLOBO ,NOVELAS DAS 18H
20,Ano,Novela,Média,GLOBO ,NOVELAS DAS 18H
21,1980,Olhai os Lírios do Campo,360,GLOBO ,NOVELAS DAS 18H
22,1980,Marina,350,GLOBO ,NOVELAS DAS 18H
23,1980,As Três  Marias,277,GLOBO ,NOVELAS DAS 18H
24,1981,Ciranda de  Pedra,336,GLOBO ,NOVELAS DAS 18H
25,1981,Terras do  Sem-Fim,221,GLOBO ,NOVELAS DAS 18H
26,1982,O Homem  Proibido,332,GLOBO ,NOVELAS DAS 18H
27,1982,Paraíso,375,GLOBO ,NOVELAS DAS 18H
28,1983,"Pão Pão,  Beijo Beijo",409,GLOBO ,NOVELAS DAS 18H
29,1983,Voltei pra  Você,359,GLOBO ,NOVELAS DAS 18H
30,1984,Amor com  Amor se Paga,400,GLOBO ,NOVELAS DAS 18H
31,1984,Livre para  Voar,388,GLOBO ,NOVELAS DAS 18H
32,1985,A Gata  Comeu,487,GLOBO ,NOVELAS DAS 18H
33,1985,De Quina  pra Lua,312,GLOBO ,NOVELAS DAS 18H
34,1986,Sinhá Moça,431,GLOBO ,NOVELAS DAS 18H
